agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1253690,114521.4,16.0,2179396,2179399,1758591004446,false
1253691,114521.4,8.0,2179400,2179400,1758591004568,false
1253692,114521.4,6.0,2179401,2179402,1758591005003,false
1253693,114521.3,10.0,2179403,2179406,1758591012071,true
1253694,114521.3,3.0,2179407,2179407,1758591012652,true
1253695,114521.3,7.0,2179408,2179409,1758591012791,true
1253696,114521.3,54.0,2179410,2179411,1758591048441,true
1253697,114504.3,38.0,2179412,2179425,1758591085642,false
1253698,114504.3,19.0,2179426,2179432,1758591085869,false
1253699,114504.3,6.0,2179433,2179434,1758591086226,false
1253700,114524.6,50.0,2179435,2179435,1758591091169,true
1253701,114524.6,23.0,2179436,2179438,1758591098445,true
1253702,114461.3,4.0,2179439,2179439,1758591192153,true
1253703,114455.8,127.0,2179440,2179441,1758591193215,true
1253704,114421.2,17.0,2179442,2179442,1758591211997,true
1253705,114421.2,18.0,2179443,2179443,1758591213510,true
1253706,114399.9,4.0,2179444,2179446,1758591232502,false
1253707,114399.9,38.0,2179447,2179448,1758591232881,false
1253708,114400.0,5.0,2179449,2179450,1758591355934,false
1253709,114400.0,199.0,2179451,2179456,1758591371187,false
1253710,114401.9,61.0,2179457,2179457,1758591371187,false
1253711,114402.2,200.0,2179458,2179458,1758591371187,false
1253712,114402.9,2.0,2179459,2179459,1758591371187,false
1253713,114405.0,32.0,2179460,2179460,1758591371187,false
1253714,114405.1,108.0,2179461,2179461,1758591371187,false
1253715,114409.2,22.0,2179462,2179462,1758591371187,false
1253716,114411.5,25.0,2179463,2179463,1758591371187,false
1253717,114421.2,1.0,2179464,2179464,1758591371187,false
1253718,114423.2,41.0,2179465,2179466,1758591371187,false
1253719,114423.8,25.0,2179467,2179467,1758591371187,false
1253720,114424.6,10.0,2179468,2179468,1758591371187,false
1253721,114426.0,108.0,2179469,2179469,1758591371187,false
1253722,114431.0,31.0,2179470,2179470,1758591371187,false
1253723,114431.1,102.0,2179471,2179471,1758591371187,false
1253724,114432.7,1.0,2179472,2179472,1758591371187,false
1253725,114440.3,38.0,2179473,2179473,1758591371188,false
1253726,114440.4,102.0,2179474,2179474,1758591371188,false
1253727,114444.2,1.0,2179475,2179475,1758591371188,false
1253728,114444.5,24.0,2179476,2179476,1758591371188,false
1253729,114445.3,11.0,2179477,2179477,1758591371188,false
1253730,114409.7,3.0,2179478,2179478,1758591413539,true
